exercise_id,created_at,kg,reps,sets,user_id
6,2026-08-31T20:11:40.661697+00:00,55,10,3,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-01T20:11:40.661697+00:00,60,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
19,2026-09-01T20:11:40.661697+00:00,80,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
25,2026-09-02T20:11:40.661697+00:00,100,5,3,749de3de-f0a8-4c92-82ac-5f3516234018
10,2026-09-04T20:11:40.661697+00:00,40,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
10,2026-09-05T20:11:40.661697+00:00,40,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-06T20:11:40.661697+00:00,60,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
19,2026-09-06T20:11:40.661697+00:00,80,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
25,2026-09-06T20:11:40.661697+00:00,100,5,3,749de3de-f0a8-4c92-82ac-5f3516234018
6,2026-09-06T20:11:40.661697+00:00,55,10,3,749de3de-f0a8-4c92-82ac-5f3516234018
10,2026-09-08T20:11:40.661697+00:00,45,6,3,749de3de-f0a8-4c92-82ac-5f3516234018
19,2026-09-08T20:11:40.661697+00:00,87,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-09T20:11:40.661697+00:00,65,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
19,2026-09-09T20:11:40.661697+00:00,87,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
25,2026-09-10T20:11:40.661697+00:00,105,5,3,749de3de-f0a8-4c92-82ac-5f3516234018
25,2026-09-11T20:11:40.661697+00:00,105,5,3,749de3de-f0a8-4c92-82ac-5f3516234018
10,2026-09-13T20:11:40.661697+00:00,45,6,3,749de3de-f0a8-4c92-82ac-5f3516234018
6,2026-09-13T20:11:40.661697+00:00,55,10,3,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-14T20:11:40.661697+00:00,65,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
6,2026-09-14T20:11:40.661697+00:00,55,10,3,749de3de-f0a8-4c92-82ac-5f3516234018
