exercise_id,created_at,kg,reps,sets,user_id
1,2026-09-01T20:07:30.393262+00:00,60,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
4,2026-09-01T20:07:30.393262+00:00,40,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
2,2026-09-02T20:07:30.393262+00:00,80,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
3,2026-09-03T20:07:30.393262+00:00,100,5,3,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-04T20:07:30.393262+00:00,60,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
2,2026-09-05T20:07:30.393262+00:00,80,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
4,2026-09-05T20:07:30.393262+00:00,40,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-08T20:07:30.393262+00:00,65,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
4,2026-09-08T20:07:30.393262+00:00,42.5,8,3,749de3de-f0a8-4c92-82ac-5f3516234018
2,2026-09-09T20:07:30.393262+00:00,85,6,4,749de3de-f0a8-4c92-82ac-5f3516234018
1,2026-09-11T20:07:30.393262+00:00,67.5,6,3,749de3de-f0a8-4c92-82ac-5f3516234018
2,2026-09-12T20:07:30.393262+00:00,87.5,5,4,749de3de-f0a8-4c92-82ac-5f3516234018
4,2026-09-12T20:07:30.393262+00:00,45,6,3,749de3de-f0a8-4c92-82ac-5f3516234018
